,negative count,postive count,neutral count,p percentage,n percentage,p percentage no neutral,n percentage no neutral
releas,38.0,56.0,44.0,0.4057971014492754,0.2753623188405797,0.5957446808510638,0.40425531914893614
relev,11.0,5.0,2.0,0.2777777777777778,0.6111111111111112,0.3125,0.6875
reliabl,4.0,9.0,2.0,0.6,0.26666666666666666,0.6923076923076923,0.3076923076923077
reliant,1.0,4.0,6.0,0.36363636363636365,0.09090909090909091,0.8,0.2
remain,95.0,106.0,96.0,0.3569023569023569,0.31986531986531985,0.527363184079602,0.472636815920398
renew,12.0,5.0,4.0,0.23809523809523808,0.5714285714285714,0.29411764705882354,0.7058823529411765
repay,10.0,9.0,13.0,0.28125,0.3125,0.47368421052631576,0.5263157894736842
repo,9.0,9.0,2.0,0.45,0.45,0.5,0.5
report,105.0,102.0,105.0,0.3269230769230769,0.33653846153846156,0.4927536231884058,0.5072463768115942
repres,20.0,8.0,17.0,0.17777777777777778,0.4444444444444444,0.2857142857142857,0.7142857142857143
requir,10.0,10.0,11.0,0.3225806451612903,0.3225806451612903,0.5,0.5
reserv,14.0,9.0,0.0,0.391304347826087,0.6086956521739131,0.391304347826087,0.6086956521739131
residenti,5.0,4.0,2.0,0.36363636363636365,0.45454545454545453,0.4444444444444444,0.5555555555555556
resili,7.0,14.0,13.0,0.4117647058823529,0.20588235294117646,0.6666666666666666,0.3333333333333333
resolv,6.0,4.0,6.0,0.25,0.375,0.4,0.6
respect,14.0,6.0,4.0,0.25,0.5833333333333334,0.3,0.7
respond,32.0,18.0,31.0,0.2222222222222222,0.3950617283950617,0.36,0.64
respons,23.0,29.0,42.0,0.30851063829787234,0.24468085106382978,0.5576923076923077,0.4423076923076923
rest,17.0,6.0,6.0,0.20689655172413793,0.5862068965517241,0.2608695652173913,0.7391304347826086
restrain,11.0,9.0,4.0,0.375,0.4583333333333333,0.45,0.55
restrict,8.0,5.0,2.0,0.3333333333333333,0.5333333333333333,0.38461538461538464,0.6153846153846154
restructur,1.0,9.0,4.0,0.6428571428571429,0.07142857142857142,0.9,0.1
result,38.0,29.0,40.0,0.27102803738317754,0.35514018691588783,0.43283582089552236,0.5671641791044776
retail,99.0,93.0,76.0,0.34701492537313433,0.3694029850746269,0.484375,0.515625
return,22.0,17.0,11.0,0.34,0.44,0.4358974358974359,0.5641025641025641
reveal,2.0,5.0,4.0,0.45454545454545453,0.18181818181818182,0.7142857142857143,0.2857142857142857
revenu,7.0,4.0,6.0,0.23529411764705882,0.4117647058823529,0.36363636363636365,0.6363636363636364
revers,16.0,10.0,17.0,0.23255813953488372,0.37209302325581395,0.38461538461538464,0.6153846153846154
review,8.0,6.0,26.0,0.15,0.2,0.42857142857142855,0.5714285714285714
revis,85.0,90.0,76.0,0.35856573705179284,0.3386454183266932,0.5142857142857142,0.4857142857142857
ric,29.0,21.0,35.0,0.24705882352941178,0.3411764705882353,0.42,0.58
rise,73.0,69.0,74.0,0.3194444444444444,0.33796296296296297,0.4859154929577465,0.5140845070422535
risen,83.0,82.0,76.0,0.34024896265560167,0.34439834024896265,0.49696969696969695,0.503030303030303
risk,51.0,41.0,42.0,0.30597014925373134,0.3805970149253731,0.44565217391304346,0.5543478260869565
robust,47.0,38.0,35.0,0.31666666666666665,0.39166666666666666,0.4470588235294118,0.5529411764705883
robustli,6.0,6.0,11.0,0.2608695652173913,0.2608695652173913,0.5,0.5
rose,7.0,10.0,8.0,0.4,0.28,0.5882352941176471,0.4117647058823529
roughli,2.0,4.0,13.0,0.21052631578947367,0.10526315789473684,0.6666666666666666,0.3333333333333333
row,6.0,0.0,8.0,0.0,0.42857142857142855,0.0,1.0
royal,46.0,26.0,11.0,0.3132530120481928,0.5542168674698795,0.3611111111111111,0.6388888888888888
run,27.0,30.0,29.0,0.3488372093023256,0.313953488372093,0.5263157894736842,0.47368421052631576
said,5.0,8.0,8.0,0.38095238095238093,0.23809523809523808,0.6153846153846154,0.38461538461538464
sale,100.0,92.0,78.0,0.34074074074074073,0.37037037037037035,0.4791666666666667,0.5208333333333334
save,31.0,30.0,44.0,0.2857142857142857,0.29523809523809524,0.4918032786885246,0.5081967213114754
